Timestamp,Date,Year,Month,District,Intel_Type,Source_ID,Content,Reliability,Urgency,Signal_Intensity,Label,Days_To_Attack,Is_Attack_Day
2025-12-31 22:59:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-916,Informant heard discussion about 'package' at Somanpalli,0.66,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 12:43:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-938,Contact reports false alarm about Basaguda,0.3,MEDIUM,0.15,NOISE,5,False
2025-12-31 23:04:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-896,Asset reports area quiet near Modakpal,0.32,MEDIUM,0.15,NOISE,5,False
2025-12-31 04:35:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-855,Source confirms routine activity in Somanpalli,0.26,MEDIUM,0.15,NOISE,5,False
2025-12-31 07:09:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-645,Source says cadres moved to different area,0.46,LOW,0.15,NOISE,5,False
2025-12-31 02:43:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-223,Informant reports 9 unidentified persons near Bhejji,0.68,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 07:39:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-597,Source reports night activity near Bhejji village,0.57,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 05:48:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-352,Contact reports false alarm about Mirtur,0.47,LOW,0.15,NOISE,5,False
2025-12-31 16:18:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-847,Reliable informant warns of planned activity on NH-30,0.82,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 05:37:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-853,Contact reports false alarm about Madded,0.41,LOW,0.15,NOISE,5,False
2025-12-31 18:25:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-876,Contact claims IED found and defused (FALSE),0.48,HIGH,0.15,DECEPTION,5,False
2025-12-31 05:39:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-785,Contact observed reconnaissance near Bhopalpatnam junction,0.89,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 07:01:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-160,Villager reports nothing unusual near Tarrem,0.59,MEDIUM,0.15,NOISE,5,False
2025-12-31 10:32:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-448,Source indicates material movement towards Gangaloor area,0.81,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 01:51:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-557,Villager reports nothing unusual near Jangla,0.5,MEDIUM,0.15,NOISE,5,False
2025-12-31 03:07:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-531,Source indicates material movement towards Bhejji area,0.94,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 19:46:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-243,Contact unable to verify earlier report about Mirtur,0.58,LOW,0.15,NOISE,5,False
2025-12-31 12:42:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-205,Source indicates material movement towards Madded area,0.91,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 23:00:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-914,Contact unable to verify earlier report about Kutru,0.47,LOW,0.15,NOISE,5,False
2025-12-31 15:28:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-335,Source reports night activity near Madded village,0.67,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 22:41:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-169,Informant mentions normal market activity at Awapalli,0.3,MEDIUM,0.15,NOISE,5,False
2025-12-31 10:08:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-536,Source confirms routine activity in Modakpal,0.37,LOW,0.15,NOISE,5,False
2025-12-31 02:11:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-629,Reliable informant warns of planned activity on Basaguda-Mirtur Road,0.69,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 03:19:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-518,Contact observed reconnaissance near Kutru junction,0.89,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 21:08:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-857,Asset reports meeting of suspected cadres at Farsegarh,0.5,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 12:24:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-628,Source confirms routine activity in Gangaloor,0.31,HIGH,0.15,NOISE,5,False
2025-12-31 09:38:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-452,Informant heard discussion about 'package' at Tarrem,0.75,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 02:35:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-843,Source says cadres moved to different area,0.37,LOW,0.15,NOISE,5,False
2025-12-31 01:40:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-752,Source reports night activity near Awapalli village,0.76,MEDIUM,0.15,TRUE_SIGNAL,5,False
2025-12-31 01:53:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-236,Source reports night activity near Usoor village,0.93,MEDIUM,0.15,TRUE_SIGNAL,5,False
2025-12-31 17:32:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-785,Villager reports nothing unusual near Madded,0.56,LOW,0.15,NOISE,5,False
2025-12-31 22:52:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-103,Reliable informant warns of planned activity on NH-30,0.85,LOW,0.15,TRUE_SIGNAL,5,False
2025-12-31 15:08:00,2025-12-31,2025,12,Bijapur,HUMINT,HUM-BIJ-519,Reliable informant warns of planned activity on Gangaloor-Usoor Route,0.71,LOW,0.15,TRUE_SIGNAL,5,False
