Timestamp,Date,Year,Month,Day,Hour,Region,Intel_Type,Source_ID,Content,Reliability,Urgency,Signal_Intensity,Label,Is_Attack_Day
2026-01-01 00:20:42,2026-01-01,2026,1,1,0,Narayanpur,OSINT,OSI-NAR-287,Twitter mentions activity near Dhanora,0.92,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 19:50:13,2026-01-01,2026,1,1,19,Narayanpur,HUMINT,HUM-NAR-374,Source warns of planned attack on Narayanpur-Kurusnar Road,0.93,HIGH,0.1,TRUE_SIGNAL,False
2026-01-01 01:56:26,2026-01-01,2026,1,1,1,Narayanpur,HUMINT,HUM-NAR-380,Source confirms cadre presence at Chhotedongar,0.76,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 18:36:56,2026-01-01,2026,1,1,18,Narayanpur,SIGINT,SIG-NAR-192,Communication about 'delivery' at Becha,0.93,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 03:25:09,2026-01-01,2026,1,1,3,Narayanpur,OSINT,OSI-NAR-146,WhatsApp warns about Kohkameta Road,0.56,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 16:06:01,2026-01-01,2026,1,1,16,Narayanpur,SIGINT,SIG-NAR-413,Voice intercept references Kohkameta Road,0.73,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 22:48:52,2026-01-01,2026,1,1,22,Narayanpur,SIGINT,SIG-NAR-664,Intercept mentions Chhotedongar coordinates,0.79,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 10:11:38,2026-01-01,2026,1,1,10,Narayanpur,OSINT,OSI-NAR-892,Twitter mentions activity near Orchha,0.62,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 06:02:17,2026-01-01,2026,1,1,6,Narayanpur,OSINT,OSI-NAR-311,News reports tension in Becha,0.76,HIGH,0.1,TRUE_SIGNAL,False
2026-01-01 11:13:07,2026-01-01,2026,1,1,11,Narayanpur,HUMINT,HUM-NAR-335,Informant heard 'package' discussed for Kurusnar,0.55,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 04:25:37,2026-01-01,2026,1,1,4,Narayanpur,PATROL,PTL-NAR-970,Fresh digging near Kohkameta junction,0.56,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 06:11:42,2026-01-01,2026,1,1,6,Narayanpur,HUMINT,HUM-NAR-932,Asset reports night movements near Batum,0.8,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 17:31:19,2026-01-01,2026,1,1,17,Narayanpur,SIGINT,SIG-NAR-291,Intercept mentions Chhotedongar coordinates,0.72,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 14:36:33,2026-01-01,2026,1,1,14,Narayanpur,HUMINT,HUM-NAR-176,Source warns of planned attack on Narayanpur-Kurusnar Road,0.61,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 19:01:05,2026-01-01,2026,1,1,19,Narayanpur,SIGINT,SIG-NAR-910,Frequency monitoring shows activity near Orchha,0.89,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 02:47:30,2026-01-01,2026,1,1,2,Narayanpur,HUMINT,HUM-NAR-947,Contact reports suspicious meeting at Kurusnar,0.91,HIGH,0.1,TRUE_SIGNAL,False
2026-01-01 18:21:02,2026-01-01,2026,1,1,18,Narayanpur,HUMINT,HUM-NAR-411,Contact reports suspicious meeting at Dhaudai,0.74,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 19:12:04,2026-01-01,2026,1,1,19,Narayanpur,SIGINT,SIG-NAR-204,Radio spike detected near Sonpur,0.76,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 09:03:54,2026-01-01,2026,1,1,9,Narayanpur,HUMINT,HUM-NAR-642,Contact reports suspicious meeting at Kurusnar,0.8,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 02:30:34,2026-01-01,2026,1,1,2,Narayanpur,HUMINT,HUM-NAR-938,Source confirms cadre presence at Orchha,0.64,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 13:47:48,2026-01-01,2026,1,1,13,Narayanpur,OSINT,OSI-NAR-129,Social media shows pamphlets at Sonpur,0.72,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 14:08:48,2026-01-01,2026,1,1,14,Narayanpur,PATROL,PTL-NAR-330,Team found wire near Dhaudai culvert,0.57,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 20:38:08,2026-01-01,2026,1,1,20,Narayanpur,OSINT,OSI-NAR-474,Social media shows pamphlets at Sonpur,0.73,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 09:45:42,2026-01-01,2026,1,1,9,Narayanpur,HUMINT,HUM-NAR-418,Contact reports suspicious meeting at Kurusnar,0.62,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 06:31:04,2026-01-01,2026,1,1,6,Narayanpur,PATROL,PTL-NAR-167,Patrol noted villagers avoiding Abujhmad Interior Road,0.82,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 00:09:56,2026-01-01,2026,1,1,0,Narayanpur,HUMINT,HUM-NAR-752,Informant heard 'package' discussed for Batum,0.57,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 06:07:15,2026-01-01,2026,1,1,6,Narayanpur,OSINT,OSI-NAR-290,News reports tension in Becha,0.89,HIGH,0.1,TRUE_SIGNAL,False
2026-01-01 14:20:11,2026-01-01,2026,1,1,14,Narayanpur,PATROL,PTL-NAR-309,Patrol found tracks of 14 persons near Abujhmad,0.93,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 09:16:41,2026-01-01,2026,1,1,9,Narayanpur,HUMINT,HUM-NAR-150,Contact reports suspicious meeting at Chhotedongar,0.69,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 01:54:25,2026-01-01,2026,1,1,1,Narayanpur,PATROL,PTL-NAR-400,Patrol found tracks of 7 persons near Sonpur,0.77,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 08:10:01,2026-01-01,2026,1,1,8,Narayanpur,SIGINT,SIG-NAR-843,Frequency monitoring shows activity near Dhanora,0.71,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 23:38:55,2026-01-01,2026,1,1,23,Narayanpur,OSINT,OSI-NAR-171,News reports tension in Kohkameta,0.73,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 21:52:56,2026-01-01,2026,1,1,21,Narayanpur,OSINT,OSI-NAR-907,News reports tension in Dhaudai,0.81,LOW,0.1,TRUE_SIGNAL,False
2026-01-01 12:11:25,2026-01-01,2026,1,1,12,Narayanpur,SIGINT,SIG-NAR-945,Radio spike detected near Dhanora,0.68,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 22:19:31,2026-01-01,2026,1,1,22,Narayanpur,HUMINT,HUM-NAR-239,Source confirms cadre presence at Dhanora,0.92,MEDIUM,0.1,TRUE_SIGNAL,False
2026-01-01 04:20:37,2026-01-01,2026,1,1,4,Narayanpur,OSINT,OSI-NAR-227,News about development at Kohkameta,0.53,LOW,0.1,NOISE,False
2026-01-01 14:36:01,2026-01-01,2026,1,1,14,Narayanpur,HUMINT,HUM-NAR-953,Informant says quiet day at Kurusnar,0.28,MEDIUM,0.1,NOISE,False
2026-01-01 03:23:53,2026-01-01,2026,1,1,3,Narayanpur,HUMINT,HUM-NAR-756,Villager mentions nothing unusual at Chhotedongar,0.28,LOW,0.1,NOISE,False
